11;TUDO É POSSÍVEL;;"Senhor meu Deus manda fogo de poder
Faz transbordar o coração do que crer.
E aos fracos se faz restabelecer,
E em nós todos faz o fogo acender.

Eu estou crendo é que este templo vai tremer,
Porque o Senhor vai derramar do Seu poder.
Tudo é possível para aquele que crer,
Verás a glória do Senhor aqui descer.

Todo pecado o fogo santo vai queimar,
Com o “Espírito Santo” o Senhor vai batizar.
Os dons perdidos o Senhor vai renovar;
O Pentecostes vai agora começar.

Os desviados o Senhor vai resgatar,
O crente morto o Senhor vai ressuscitar.
Os exaltados o Senhor vai humilhar,
O crente humilde o Senhor vai exaltar.

O pregador por Deus hoje está usado,
A espada santa vai cortar de todo lado.
Gente doente vai sair daqui curado
Pecado oculto pode até ser revelado."
12;TUDO DE GRAÇA;;"A salvação que eu tenho é de graça!
A cura que Jesus me deu é de graça!
E a morada que eu tenho no céu é de graça!
E a passagem para ir ao céu também é de graça!

Foi Jesus quem deu, foi o meu Jesus,
É só pela graça que eu irei morar,
Lá no céu de luz.
Foi Jesus quem deu, foi o meu Jesus,
É só pela graça que eu irei morar,
Lá no céu de luz.

Quem já bebeu da água que Cristo dá.
Tem vida eterna e sede jamais terá.
E esta água é só em Jesus que acha!
Vem meu amigo, Jesus quer te dar de graça."
13;SEJA CRENTE;;"Seja crente no seu modo de andar,
Seja crente no seu modo de vestir.
Seja crente no seu modo de falar,
Seja crente no seu modo de agir.

O crente que é crente é temente,
E foge da aparência do mal.
O crente que é crente é valente,
E está a caminho do país celestial.

Seja crente no seu modo de olhar,
Seja crente no seu modo de pensar,
Seja crente no seu modo de viver,
Seja crente para o mal você vencer."
14;JESUS;;"Jesus, Jesus, Jesus
Cantem ao Pai, Pai, Pai, Pai
E Santo é Seu Nome, Santo, Santo, Santo.

Derrama água viva em minha alma,
Toma minha vida dá-me paz e calma.
E todos os problemas que perturbam minha mente,
Entrego aos Teus cuidados para sempre.

Vem agora em mim oh Espírito Santo,
Toma-me em seus braços, cura o meu pranto.
Apaga toda dúvida e orgulho que haja em mim,
Me atrai ao seu lado para sempre."
15;SEPARAÇÃO;;"Deus vos guarde pelo seu poder,
Protegidos e velados,
Desfrutando os seus cuidados,
Deus vos guarde pelo seu poder!

Pelo seu poder e no seu amor,
Até nos encontramos com Jesus!
Pelo seu poder e no seu amor,
Oh! Que Deus vos guarde em sua luz.

Deus vos guarde bem no seu amor,
Consolados e contentes.
Achegados sempre aos crentes,
Deus vos guarde bem no seu amor!

Deus vos guarde do poder do mal
Da ruína, do pecado,
Do temor de todo lado,
Deus vos guarde do poder do mal!

Deus vos guarde para seu louvor,
Para seu Divino gozo,
Seu serviço tão glorioso
Deus vos guarde para seu louvor!"
16;ORAÇÃO DE HABACUQUE;;"Ainda que a terra não seja ensolarada,
Ainda que aqui eu não tenha morada.
Ainda que a noite a lua não ilumine,
E as árvores todas não frutifiquem.

Todavia eu me alegrarei,
No Deus da minha salvação.
Para sempre eu exultarei,
No Deus da minha salvação.

Ainda que não haja fruto na videira,
Ainda que a linda figueira não floresça.
Ainda que a trombeta não toque seu alarido,
E a terra inteira seja destruída."
17;CRISTO VAI PASSAR;;"Há hoje alguém esperando, para Jesus encontrar?
Venha sem mais demorar-se, Cristo vai hoje passar!
Ei-lo de mãos estendidas, cheio de graça sem par.
Oh! Que ventura inaudita. Cristo vai hoje passar!

Cristo vai hoje passar, passar, passar!
Passa de amor transbordando,
Todos a si convidando.
O mestre vai hoje passar, sim,
Hoje Ele vai passar.

Há ainda alguém duvidando, do seu poder de salvar?
Pois venha experimentá-lo, Cristo vai hoje passar!
O seu poder é Divino, e o seu amor é sem par.
Ó coração quebrantados! Cristo vai hoje passar!

Há inda alguém demorando, para Jesus aceitar?
Eis que o Senhor está perto, Ele vai hoje passar!
Ó pecador desditoso, não cesses, pois de clamar!
Vem tuas culpas chorando, Cristo vai hoje passar!"
18;JESUS NÃO MUDOU;;"Posso ver a igreja louvando,
O Senhor adorando com todo fervor.
Posso ver Jesus Cristo salvando,
Seu poder derramando, nos enchendo de amor.
Posso ver as suas maravilhas,
Na igreja de hoje acontecer.
Posso ver alegria reinando,
E o povo cantando louvores a Deus.
Posso ver alegria reinando,
E o povo cantando louvores a Deus.

Jesus não mudou e nem mudará,
Pois Ele operou no passado.
Hoje também operando está.
Jesus não mudou e nem mudará,
Pois Ele operou no passado.
Hoje também operando está.

Posso ver uma igreja Santa.
Que vive o que canta andando no amor.
Posso ver Jesus Cristo batizando,
E o fogo queimando todo pecado e dor,
Posso ver os doentes sarando,
E o povo cantando glórias ao Senhor.
Posso ver alegria reinando,
E o povo cantando louvores a Deus.
Posso ver alegria reinando,
E o povo cantando louvores a Deus."
19;PELO SANGUE VENCEREMOS;;"Pelo sangue de Jesus nós venceremos
A batalha contra o príncipe belial
Confiando no poder de Jesus Cristo
Lutaremos até chegar ao final.

A vitória já está perto,
Os clarins nos céus ressoam
Oh irmão guarde o que tens,
Para não perder sua coroa.

A batalha está travada e o inimigo a atacar,
A peleja é tremenda não podemos recuar,
Se alguém cair ferido e ficar tombado ao chão
Lembrai que Jesus ensina, dar a mão ao seu irmão,
Não olhando à aparência, raça, cor ou religião
Mas falai de Jesus Cristo, o autor da Salvação."
20;MAIS UMA NOITE;;"Oh meu Jesus quando será que vem buscar-nos,
A tua noiva ansiosa te espera.
São tantas as lutas e opressões que aqui passamos.
Volta Jesus para levar-nos desta terra.

Mais uma noite te esperamos mestre amado
Se não voltares amanhã te esperaremos,
Somente tu podes consolar o nosso pranto
Jesus querido dia e noite te esperamos.

Noivo querido a tua noiva te espera,
Porque deseja viver na glória sempre ao teu lado.
Pois só em ti felicidade encontraremos,
Jesus tu sabes que aqui tanto sofremos."
