20;PAI CELESTE;;"Pai celeste, ao teu lado quero estar
Quando a aurora no horizonte despontar,
Raia o sol, as sombras fogem
O teu servo vem guiar,
Pai celeste, ao teu lado quero estar.

[coro]
Eu bem sei, que muitos falam
Do caminho onde estou
Mas não vêem a luz que brilha,
Ao redor por onde vou.

Pai celeste, ao teu lado quero estar
Quando o sol no horizonte declinar,
Desce o sol, as sombras crescem
O teu servo vem guardar,
Pai celeste, ao teu lado quero estar."
21;ESTE MONTE SE MUDARÁ;;"Não com violência e nem por força
Por meu espírito, disse Deus
Não com violência e nem por força
Por meu espírito, disse Deus.

Este monte se mudará,
Este monte se mudará,
Este monte se mudará,
Por meu espírito, disse Deus."
22;SANTO ESPÍRITO;;"Santo Espírito enche a minha vida
Pois por Cristo eu quero brilhar
Santo Espírito enche a minha vida
Dá-nos muitas almas a ganhar.
Aleluia, Aleluia,
Aleluia dou ao Cristo rei
Aleluia, Aleluia,
Aleluia dou ao rei."
23;MINH'ALMA ESTÁ CHEIA DE PAZ;;"A minh’alma está cheia de paz (BIS)
Tenho gozo celeste e prazer em dizer
A minh’alma está cheia de paz

Eu caminhando vou (BIS)
Para a cidade santa
Eu caminhando vou.

Eu vou cantar no céu (BIS)
Um hino de vitória,
Eu vou cantar no céu.

Eu vou me consagrar (BIS)
Pra Jesus meu Mestre,
Eu vou me consagrar."
24;MEU REI ESTÁ VINDO;;"Meu rei está vindo
Meu rei está vindo
Eu espero pela vinda do meu rei."
25;OS CÉUS E A TERRA PROCLAMARÃO;;"Santo, Santo, Santo
Canta os serafins
Santo, Santo, Santo
É nosso Deus Jeová
Santo, Santo, Santo
É o Senhor que nos redime.

Porque três vezes Santo
Os céus e a terra proclamarão.
Porque três vezes Santo
Os céus e a terra proclamarão.
Os céus e a terra passarão.
Minhas palavras não passarão.
Os céus e a terra passarão.
Minhas palavras não passarão.
E não, não, e não passarão… (BIS)"
26;SEGUINDO A JESUS;;"Seguindo a Jesus, Passo a Passo estou
Em cada momento, mui feliz eu sou.
Eu deixo o futuro pra Ele cuidar
Eu quero só hoje, um passo andar

Estreito é o caminho, mas vem me guiar,
Na sombra de Cristo, não temo andar.
Momentos e horas, não vejo passar,
Pois quero só hoje, um passo andar"
27;O ESPÍRITO DE DEUS SE MOVE;;"O Espírito de Deus se move, se move, se move
O Espírito de Deus se move
Se move no meu coração!
Oh! Irmão deixa que se mova! Se mova, se mova!
Oh! Irmão deixa que se mova
Se mova no teu coração"
28;MAIS DE CRISTO;;"Eu quero mais e mais de Cristo
Eu quero mais do Seu poder
Eu quero mais da Sua Presença
Eu quero mais e mais de Cristo."
29;TE AGRADECEMOS;;"Te agradecemos por tua bondade
Glória a Ti, Glória a Ti.
Te agradecemos por tua bondade
Glória a Ti, Senhor Jesus.

Que as nossas almas se alimentem,
Do pão da vida, do pão da vida.
Que as nossas almas se alimentem,
Do pão da vida, que é Jesus."
