13;AO PÉ DA CRUZ;;"Quero estar ao pé da Cruz,
Donde rica fonte            ;
Corre franca salutar,
Do Calvário Monte.

CORO
Sim na Cruz, sim na Cruz,
Sempre me glorio          ;
E no fim, vou descansar
Salvo além do rio.

Ao tremer ao pé da Cruz,
Graça eterna achou-me
Matutina estrela ali,
Raios seus mandou-me.

Sempre a Cruz, Jesus meu
Deus,
Queiras recordar-me      ;
Dela sombra Salvador,
Queiras abrigar-me.

Junto a Cruz, ardendo em fé,
Sem temor vigio               ;
Pois, a terra santa irei,
Salvo, além do rio.
"
14;AVANTE, AVANTE Ó;;"CRENTES
Avante, avante, ó crentes,
Soldados de Jesus           ;
Erguei seu estandarte
Lutai por sua Cruz,
Contra hostes inimigas,
Ante essas multidões,
O comandante excelso,
Dirige os batalhões.

Avante, avante, ó crentes ;
Por Cristo pelejai!
Vesti sua armadura
Em seu poder marchai,
No posto sempre achados,
Velando em oração,
Por meio de perigos        ;
Seguindo o capitão.

Avante, avante ó crentes,
Com passo triunfal,
Hoje há combate horrendo,
Mui cedo a paz final,
Então, eternamente        ;
Bendito o vencedor,
Por Deus vitoriado,
Com Cristo, o Salvador.
"
15;BENDIREI JESUS;;"Louvarei meu Guia Sábio,
Louvarei, louvarei           ;
Bendirei com alma e lábios,
Bendirei Jesus.

CORO
Aleluia, louvo à Jesus,
Deu-me a Salvação na Cruz ;
Aleluia, a Quem me conduz,
Glória à meu Jesus.

Louvarei a Quem me ampara,
Louvarei, louvarei,
Nada Dele me separa,
Bendirei Jesus.

A Quem leva os meus cuidados,
Louvarei, louvarei,
Me sustenta os pés cansados,
Bendirei Jesus.

À Quem dá-me aqui vitória,
Louvarei, louvarei            ;
Dar-me-à coroa e glória,
Bendirei Jesus.

Meu sublime Rei glorioso,
Louvarei, louvarei        ;
Em celeste coro e gozo,
Bendirei Jesus.
"
16;BENDITO CORDEIRO;;"Seja bendito o Cordeiro,
Que na Cruz por nós padeceu!
Seja bendito o seu Sangue,
Que por nós pecadores verteu!
Eis nesse Sangue lavados,
Com roupas que tão alvas são,
Os pecadores remidos,
Que perante seu Deus hoje estão!

CORO
Alvo mais que a neve!
Alvo mais que a neve!
Se nesse Sangue lavado,
Mais alvo que a neve será!

Quão espinhosa a coroa,
Que Jesus por nós suportou!
Oh! Quão profundas as chagas,
Que nos provam o quanto ele amou!
Eis nessas chagas, purezas
Para o mais torpe pecador,
Pois que mais alvo que a neve,
O Teu Sangue nos torna Senhor!

Se nós a Ti confessarmos,
E seguirmos a tua Luz,
Tu não somente perdoas,
Purificas também ó Jesus,
Sim, e de todo o pecado!
Que maravilhas desse amor!
Pois que mais alvo que a neve
O Teu Sangue nos torna Senhor!
"
17;BENIGNA VOZ;;"Ouço a benigna voz,
De Cristo, o Redentor        ;
Chamar-me para a Salvação,
Fruto do seu amor.

CORO
Venho meu Senhor,
Venho como estou!

Bem nenhum, mereço a ti,
Tua voz me convidou!

Sou vil e pecador,
Indigno e sem saber         ;
Pureza em Teu Sangue terei,
Em Teu favor, poder.

Nas trevas , eu dormi,
Jesus espalha a Luz      ;
Em teu Divino espírito,
À glória me conduz.

Graças, por este amor,
Por essa redenção      ;
Tendo Jesus, o Salvador,
Eu tenho a salvação.
"
18;BRILHO CELESTE;;"Peregrinando, vou pelos montes,
E pelos vales, sempre na Luz     ;
Cristo promete, nunca deixar-me,
Eis-me convosco, disse Jesus.

CORO
Brilho celeste, Brilho celeste,
Enche a minha alma, glória de Deus ;
Com aleluia, sigo cantando,
Canto louvores, indo para os céus.

Sombras a roda, nuvens em cima,
O Salvador, não há-de ocultar         ;
Ele é a Luz, que nunca se apaga,
Junto ao seu lado, sempre hei-de andar.

Vão me guiando, raios benditos,
Que me conduzem, para a mansão,
Mais e mais perto, o Mestre seguindo,
Canto louvores, da salvação.
"
19;CANTO DO PESCADOR;;"No meu barco a remar,
Sobre as ondas, pelo mar,
Mesmo na bonança ou no furacão     ;
Não desejo mais parar,
Com a rede vou pescar,
Muitos peixes para o Reino de Sião.

CORO
Vou pescar os pecadores para Cristo,
Neste Mundo cheio de horror,
Não mais desanimarei                  ;
Minha rede, lançarei,
Muitos peixes apanhando para o Senhor.

O meu barco não é bom,
De pescar não tenho Dom,
E me dizem que não devo continuar  ;
Mas Jesus me quis mandar,
E por isso, vou pescar,
Até que Ele se apraz em me chamar.

Tem um modo o Senhor,
Que é próprio de amor,
Ele usa dos remidos o menor,
Todo o mundo me deixou,
E de mim se envergonhou,
Mas, alegre vou pescar, pois, é melhor.

Se há coisa de valor,
É a rede de amor,
Cujo fio, é a obra de Jesus     ;
Que puxada sempre traz
Os perdidos e sem paz
Para receberem do Senhor, a Luz.
"
20;CEIFANDO;;"Espalhemos todos, a semente santa,
Desde a madrugada, até o anoitecer      ;
Calmos, aguardando, o tempo da colheita,
Quando alegremente, havemos de colher.

CORO
Havemos de colher! Havemos de colher!
Oh, quão jubilosos, havemos de colher!
Havemos de colher! Havemos de colher!
Meses abundantes, havemos de colher!

Semeamos, quando seres perniciosos,
A semente boa, querem destruir.
Deus abençoando, alegres e satisfeitos,
A colheita santa, havemos de fluir.

Eia, pois, obreiros, semeai ousados,
A semente viva, da verdade e Luz            ;
Proclamando Cristo, Seu poder e glória,
Salvação perfeita, que alcançou na Cruz.
"
21;CHUVA DE GRAÇAS;;"Deus prometeu, com certeza,
Chuvas de graça mandar     ;
Ele nos dá fortaleza,
E ricas bênção sem par.

CORO
Chuvas de graça,
Chuvas pedimos, Senhor       ;
Manda-nos chuvas constantes,
Chuvas do Consolador.

Cristo nos tem concedido,
O Santo consolador        ;
De plena paz nos enchido,
Para o Reinado de amor.

Faz os seus servos piedosos,
Dá-lhe virtude e valor
Dando os dons preciosos
Do Santo consolador.

Dá-nos Senhor amplamente,
Seu grande gozo e poder    ;
Fonte de amor permanente,
Põe dentro do nosso ser.
"
22;COM JESUS HÁ MORADA FELIZ;;"Com Jesus há morada feliz,
Prometida e segura no céu     ;
Avistámos o lindo país,
Pela fé na palavra de Deus!

CORO (2X)
Com Jesus, no porvir,
Com Jesus no Celeste porvir!

Pacientes, podemos pensar,
Se sofremos por nosso Jesus        ;
Pois sem culpa, sem falta ou pesar
Viveremos no Reino da Luz!

No descanso perfeito, eternal,
Desfrutando o labor que passou ;
Cantaremos em tom triunfal,
Os louvores de Quem nos amou!"
23;COMIGO ESTAR;;"Não temas, Contigo, Eu sempre estarei!
Oh! Rica promessa, do Bondoso Rei!
Qual astro que brilha, lá na escuridão,
Esta linda promessa brilha no meu coração.

CORO (2X)
Comigo estar! Comigo estar!
Sim, Jesus me promete,
Sempre comigo estar!

Os lírios mais alvos, ei-los murchos estão,
Os dias mais belos, quão depressa vão!
Cristo, o Lírio dos vales, nunca mudará,
Cristo, a Luz celeste, sempre, comigo estará.

E se, pelas águas, tiver de passar,
Seus braços eternos hão-de me guardar,
Sim, mesmo no fogo, que vem me provar,
Meu Senhor me promete, sempre, comigo estar."
24;GRAÇA EXCELSA;;"Oh, graça excelsa do Senhor!
Perdido, me achou             ;
Estando cego, me fez ver      ;
Da morte me salvou!

A graça me fez, enfim, temer,
E meu temor levou.
Oh, quão preciosa é para mim
A hora em que me achou!

Mil lutas, laços, tentações
Caíram sobre mim              ;
Porém, a graça me valeu!
Será para sempre assim.

E, quando à eternidade eu for,
Fulgindo com a Luz,
A graça excelsa cantarei
Do amor do meu Jesus!
"
