415;ATI TWONANE MTONI?;;"Ati twonane mtoni?
Maji mazuri ya mbingu;
Yanatokea mwangani,
Penye kiti cha Mungu.


chorus
Naam, twonane mtoni!
Watakatifu, kwenu ni mtoni!
Tutakutanika mtoni
Penye kiti cha Mungu.


Tukitembea mtoni
Na Yesu Mchunga wetu;
Daima tu ibadani
Usoni pake kwetu.


Tukisafiri mtoni
Tutue ulemeao
Wema wa Mungu yakini:
Una taji na vao!";;
444;BAADA YA YOTE;;"Katika dunia hiii, Sisi sote tuwageni
Wasafiri kwenda mbinguni,
Kwa Baba
Safari ni yenye shida, majaribu 
mengi sana
Lakini tukiwa na yesu,Tutashinda

Chorus
Baada ya taabu zote, tulizo zipata 
hapa
Tutapumzika milele,kwa baba
Katika yerusalemi, iliyo pambwa vizuri
Ndugu jitahidi, ili uwepo

Kwa nguvu zangu mwenyewe
Siwezi kufanya lolote
Kuiokoa nafsi yangu dhambini
Lakini nikimtazama yesu
Nitashinda kama yeye alivyoshinda
Kama yeye, alivyomshinda shetani."
454;baba wa mbinguni;;"Baba wa mbinguni 
Nyoosha mkono wako
Watu wauone
Walisifu jina lako"
457;BABA YANGU ANA MALI NYINGI;;"Baba yangu ana mali nyingi,
Hushika hazina zote mkononi;
Fedha zote na mawe thamani,
Na dhahabu zote ulimwenguni.


chorus
Ni mwana wa Mfalme,
Mwana wa Mfalme;
Pamoja na Yesu,
Ni mwana wa Mfalme.


Mwana wa Baba, Mwokozi wangu,
Alitembea humu ulimwengu;
Bali anatuombea sasa,
Ili tuwe watu wake kabisa.


Nilitupwa mbali duniani,
Nikakubali kuwa mwenye dhambi;
Bali sasa nimeokolewa,
Kweli, jina langu limeandikwa.


Hema au nyumba, sioni shaka,
Makao mazuri nitayapata;
Nikihamishwa na watu wangu,
Nitafurahi na Mwokozi wangu.";;
458;BABA YETU ALIYE MBlNGUNI;;"Baba yetu aliye mbinguni
Amenifurahisha yakini
Kuniambia mwake Chuoni
Ya kuwa nami Yesu pendoni.


Chorus 
Anipenda Mwokozi Yesu,
Anipenda, Anipenda:
Anipenda Mwokozi Yesu,
Anipenda mimi.


Nimuachapo kutanga mbali
Yeye yu vivyo, hupenda kweli,
Hunirejeza kwake moyoni:
Kweli yu nami Yesu pendoni.


Anipenda! Nami nampenda;
Kwa wokovu alionitenda:
Akanifia Msalabani
Kwa kuwa nami Yesu pendoni.


Haya kujua yanipa raha;
Kumuamini kuna furaha:
Humfukuza mara Shetani,
Kwona yu nami Yesu pendoni.


Sifa ni nyingi asifiwazo,
Moja ni sana katika hizo,
Wala siachi, hata mbinguni,
Kwimba, ""Yu nami Yesu pendoni.""";;
459;BABA, MWANA, ROHO;;"Baba, Mwana, Roho, Mungu Mwenye enzi,
Kila tukiamka tunakuabudu.
Baba, Mwana, Roho, Mungu wa mapenzi,
Ewe Utatu, tunakusifu.


Baba, Mwana, Roho, wakuaminio
Wanakutolea shukurani zao.
Wakusujudia malaika nao:
Wewe U mwanzo, nawe U mwisho.


Baba, Mwana, Roho, sisi tu gizani,
Utukufu wako haoni mkosa;
U Mtakatifu, nawe U mapenzi,
U peke yako, mwenzio huna.


Baba, Mwana, Roho, Mungu Mwenye enzi,
Ulivyoviumba vyote vyakusifu:
Baba, Mwana, Roho, Mungu wa mapenzi,
Ewe Utatu, tunakusifu.";;
476;BARAGUMU YAKE BWANA;;"Baragumu yake
Bwana wakati ikipigwa
Na siku ya milele ikafika;
Hapo waliokombolewa
watakusanyika,
Nitakuwako, jina kuitika.


Chorus 
Na majina yaitwapo,
Na majina yaitwapo;
Na majina yaitwapo,
Kuitika jina, nitakuwapo.


Wafu wa Kristo wafufukapo
kwa siku ile
Tutashiriki na fahari yake;
Waliochaguliwa
watakaribishwa kwake,
Nitakuwapo jina kuitika.


Saa zote na tumfanyie
Bwana kazi yake,
Tangu asubuhi hata jioni;
Maisha yetu ikomapo
humu duniani,
Nitakuwako jina kuitika.";;
478;BARAKA ZA MUNGU;;"Baraka zake Mungu kweli ni za? 
Ni za ajabu 
Baraka zake Mungu kweli ni za? 
Ni za ajabu

Chorus 
Zaweza kwenda juu 
Zaweza kwenda chini 
Zaweza kwenda mbele 
Zaweza kwenda nyuma Upande, 
upande Kwa mataifa yote Upande, 
upande Kwa mataifa yote

Upendo wa Mungu kweli ni wa?
Ni wa ajabu
Upendo wa Mungu kweli ni wa?
Ni wa ajabu

Amani ya Mungu kweli ni ya? 
Ni ya ajabu 
Amani ya Mungu kweli ni ya? 
Ni ya ajabu"
605;BILA WEWE YESU SIWEZI;;"Bila Wewe Bwana Siwezi
Bila Wewe Bwana Siwezi"
615;BLESS THAT WONDERFUL NAME OF JESUS;;"Bless that wonderful Name of Jesus,
Bless that wonderful Name of Jesus,
Bless that wonderful Name of Jesus,
No other Name I know.

Praise that wonderful Name of Jesus
Praise that wonderful Name of Jesus
Praise that wonderful Name of Jesus
No other Name I know.

Jina la Yesu libarikiwe,
Jina la Yesu libarikiwe,
Jina la Yesu libarikiwe,
Jina la nguvu zote.
(Jina la Yesu Liinuliwe...)
(Upendo wa Yesu uonekane...)
 (Upendo wa nguvu zote...)"
