499;Be of good courage / Got any rivers you think are;G;"""Sei guten Mutes"", spricht Gott dort zu Josua,
heißt mit dem Volk durch den Jordan ihn geh`n.
Unmöglich scheint`s doch sie ziehen,
und Gott ist da, teilet die Fluten,
lässt Wunder gescheh`n.
---------------------------------------------------------------------------
""Be of good courage,"" God spoke unto Joshua, 
When o'er the river God pointed the way; 
Jordan uncrossable!
Things seemed impossible, 
Waters divide as they march and obey.

CHORUS
Schaust Du auf Ströme,
die keiner zu zwingen meint?
Stehst Du vor Bergen die niemand durchbricht?
Gott tut so gerne,
was uns ganz unmöglich scheint.
Er nur vollbringt es, ein andr`er nicht.
------------------------------------------------------------------
Got any rivers you think are uncrossable?
Got any mountains you can't tunnel through? 
God specializes in things thought impossible,
And He will do what no other pow'r can do.

Siege erringen wir ohne zu kämpfen nicht;
Jericho sperret dem Volke die Bahn.
Doch sie marschieren,
und Gott hält was Er verspricht;
Mauern zerbrechen, tritt Gott auf den Plan.
---------------------------------------------------------------------
Battles to win! They would meet with
Their obstacles, Jericho's walls, too,
Must fall to the ground. God never
Failed; He stood back of His promises,
Walls had to crumble as they marched around.

Gott ist derselbe, Sein Wort ist unwandelbar.
Er bahnt dir Wege im wogenden Meer.
Was wir nicht meistern,
Er wandelt es wunderbar,
Berge versetzen, das fällt Ihm nicht schwer.
---------------------------------------------------------------------
God is the same and His Word is dependable,
He'll make a way through the waters for you;
Life's situations by Him are amendable.
Mountains and hills He will part for you too.";
502;Be still and know / Seid still und erkennt;C;"Seid still und erkennt,
dass Ich bin Gott. (3x)
-----------------------------------
Be still and know
That I am God. (3x)

Ich bin der Herr,
dein Gott, der dich heilt. (3x)
---------------------------------------------
I am the God
That healeth Thee. (3x)

Auf Dich, o Herr,
vertraue ich. (3x)
----------------------------
In Thee, oh Lord,
I put my trust. (3x)";
506;Be still my soul/ Sei still mein Herz;Bb;"Sei still mein Herz, was immer dir geschieht.
Trag mit Geduld des Lebens Kreuz und Leid.
Gott ist ein Freund, der deine Drangsal sieht,
Er bleibt dir treu im Wandel dieser Zeit.
------------------------------------------------------------
Be still, my soul, Thy Lord is on thy side
Bear patiently, the cross of grief or pain.
Leave to thy God, to order and provide
In every change, He faithful will remain.

Sei still, mein Herz,
Gott schenkt dir Himmelsruh,
und alle Not
deckt Seine Liebe zu.
-------------------------------
Be still, my soul,
Thy best thy heavenly friend
Through thorny ways,
Leads to a joyful end.

Herr, Dir vertrau`, vertrau` ich ganz allein.
Herr, auf Dich bau`, Du lässt mich nie allein.
Ich geb mich Dir, ja, ganz vollkommen hin.
Sei still mein Herz.
-----------------------------------------------
In You I rest, in You I found my hope
In You I trust, You never let me go.
I place my life within Your hands alone
Be still, my soul.

Sei still, mein Herz, Gott Vater führt`s hinaus.
Er hält dich fest, wie Er`s bisher getan.
Sei nur getrost, bau` auf den Herrn dein Haus.
Und wirst du matt, du darfst zum Vater nah`n.
---------------------------------------------------------------
Be still, my soul, thy God doth undertake
To guide the future as He has the past
Thy hope, thy confidence, let nothing shake
All now mysterious shall be bright at last

Sei still, mein Herz,
es kann dir nur gescheh`n.
Was Gott der Herr
zum Heil dir auserseh`n.
-----------------------------------
Be still, my soul,
The waves and wind still know
His voice who ruled
Them while He dwelt below.

Herr, Dir vertrau`, vertrau` ich ganz allein.
Herr, auf Dich bau`, Du lässt mich nie allein.
Ich geb mich Dir, ja, ganz vollkommen hin.
Sei still mein Herz.
-----------------------------------------------
In You I rest, in You I found my hope
In You I trust, You never let me go.
I place my life within Your hands alone
Be still, my soul.

Sei still, mein Herz, bald kommt der Freudentag.
Der Heiland holt uns Heim zur Herrlichkeit.
Und alle Not, Enttäuschung, Furcht und Plag`
Hat dann ein End für alle Ewigkeit.
---------------------------------------------------------------
Be still, my soul, the hour is hastening on
When we shall be forever with the Lord.
When disappointment, grief and fear are gone,
Sorrow forgot, love's purest joys restored.

Sei still, mein Herz, und bete dankbar an.
Herr, Du mein Gott,
dass ich Dich fassen kann.
-------------------------------------
Be still, my soul,
When change and tears are past
All safe and blessed,
We shall meet at last.

Herr, Dir vertrau`, vertrau` ich ganz allein.
Herr, auf Dich bau`, Du lässt mich nie allein.
Ich geb mich Dir, ja, ganz vollkommen hin.
Sei still mein Herz.
-----------------------------------------------
In You I rest, in You I found my hope
In You I trust, You never let me go.
I place my life within Your hands alone
Be still, my soul.";
610;Bist Du Bereit Wenn Christus Erscheint?;F;entfernt;
611;Bist Du Bereit Zu Der Stunde;A;entfernt;
706;Bring them in / Bringt sie heim / Bringt sie rein;F;"Bringt sie heim, bringt sie heim!
Bringt sie heim vom Land der Sünd' und Pein!
Bringt sie heim, bringt sie heim!
Bringt die Kleinen heut zu Jesus!
--------------------------------------------------------------
Bring them in, bring them in,
Bring them in from the fields of sin;
Bring them in, bring them in,
Bring the little ones to Jesus.";
835;Change my heart oh God / Wandle Du mein Herz;C;"Wandle Du mein Herz,
mach es neu, o Gott.
Wandle Du mein Herz,
mach‘ es wahr und rein. (2x)
--------------------------------------
Change my heart, oh God,
Make it ever true,
Change my heart, oh God,
May I be like You. (2x)

Du bist der Töpfer, 
ich bin der Ton,
forme, o Herr, mich 
Dir zum Ebenbild.
------------------------------
You are the Potter, 
I am the clay,
Mould me and make me 
This is what I pray.

Wandle Du mein Herz,
mach es neu, o Gott.
Wandle du mein Herz,
mach‘ es wahr und rein.
--------------------------------------
Change my heart, oh God,
Make it ever true,
Change my heart, oh God,
May I be like You.";
905;Christus hält mich fest;;"Wenn mein Glaube schwinden will,
hält mich Christus fest.
Satans List wird mir zu viel,
Christus hält mich fest.
Alleine kann ich nicht bestehn
auf dem Lebensweg.
Alleine müsste ich vergehn,
Christus hält mich fest.

CHORUS
Christus hält mich fest.
Christus hält mich fest.
Mein Erlöser liebt mich sehr,
Christus hält mich fest.

Jesus nimmt den Sünder an;
Christus hält mich fest.
Keine Macht mich trennen kann;
Christus hält mich fest.
Meine Seele bleibt bewahrt,
Sein Versprechen gilt.
Denn Er hat den Preis bezahlt;
Christus hält mich fest.

Für mich ging Er in den Tod;
Christus hält mich fest.
Jetzt steh ich gerecht vor Gott,
Christus hält mich fest.
Mit Ihm werd ich auferstehn,
Christus hält mich fest.
Ihn mit eignen Augen sehn,
Wenn er wiederkommt.";
952;Come Holy Spirit / Komm Heilger Geist;D;"Komm, Heil'ger Geist, ich brauch' Dich. 
Komm, Heil'ger Geist, ist mein Gebet.
Komm zu Deinem Worte, es wartet auf Dich.
Komm in Fülle und Kraft.
------------------------------------------------------
Come Holy Spirit, I need Thee,
Come, Holy Spirit, I pray. 
Come in Thy strength and Thy power,
Come in Thine own special way.";
978;Come ye sinners / And I know / Kommt ihr Menschen;D;"Kommt ihr Menschen, ohne Hoffnung,
Jesu Blut befreit auch dich.
Rettet gern die Allerschlimmsten,
einen solchen, gleich wie mich.
-------------------------------------------------------
Come, ye sinners, lost and hopeless,
Jesus Blood can make you free;
For He saved the worst among you,
When He saved a wretch like me.

CHORUS
Und ich weiß (es ganz genau),
Ja ich weiß (es ganz genau),
Jesu Blut das wäscht
den schlimmsten Sünder rein. (2x)
---------------------------------------------
And I know (I surely know), 
Yes I know (I surely know),
Jesus Blood can make the 
Vilest sinner clean. (2x)

Und dem Schwachen gibt Er Stärke,
deine Berge, reißt Er ein;
findet Wasser in der Wüste,
Kehrt die Nacht in Sonnenschein.
----------------------------------------------------
To the faint He giveth power,
Through the mountains makes a way;
Findeth water in the desert,
Turns the night to golden day.

In Versuchung, ist Er bei dir,
dunkle Mächte hält Er fern,
führt dich sicher auf dem Wege,
gibt dir Gnade, täglich gern.
----------------------------------------------
In temptation He is near thee,
Holds the powers of hell at bay;
Guides you to the path of safety,
Gives you grace for every day.

Durch alle Zeit wird Er dich schützen,
bringt dich durch zur Ewigkeit.
Bebt die Erde, tobt die Hölle,
doch Er führt, zur Herrlichkeit.
---------------------------------------------------
He will keep thee while the ages
Roll throughout eternity;
Though earth hinders and hell rages,
All must work for good to Thee.";
