482;Bauti mboka;;"Bauti bisika binso
Bauti mboka mosika
Mpo na kolia
N'elambo ya Nkolo
Bapaya bapambwami
Kotala'elongi na Ye
Kongenga ya ngolu
Mangaliti'a motole.

CHORUS
Natondi na esengo
Yesu asikoli ngai
Natiki mikumba'a mitungisi
Ya Yesu bozito te.
Molili ezipaki ngai
Kasi nyonso elimwe
Nakoyemba elonga
Yesu asikoli ngai

Liboso'a kiti'a Nzambe 
Basantu batelemi
Mpisoli'esili
Mawa esili
Kuna liwa'ezali te
Mobikisi akei kuna
Kobongisa'esika
Tokozala elongo
Mpo na seko na seko.

Bikuke, mboka yango,
Bizali se polele
Talela Nkolo
Mopesi ngolu
Na bolingo'abongisi
Efandelo na mboka
Mpo na biso banso.
Mpo na komilengela
Tosa mongongo na Ye.

Yesu azali koya,
Nde mpasi ekosila.
Soki Mokonzi ayei sikawa
Mpo na basembolami,
Okozala n'esengo
To mawa mpe mpasi?
Ekoya Ye na nkembo
Tokokutana na Ye.";© Public Domain;
606;Bilaka ya Biblia;;"Bilaka ya Biblia mpo na ngai,
Mokapo, eteni mpe molongo.
Nandimeli Bolingo na Nzambe,
Bilaka ya Biblia mpo na ngai.";;
669;Bolingo ebikisi ngai;Bb;"Nazalaki kozinda
Kati na masumu,
Nzela ezalaki te
mpo na ngai kobima;
Nkolo ya mai ayoki
Kobelela na ngai,
Abimisi ngai n'ebale
Nabiki.

CHORUS
Bolingo na Ye ebikisi ngai,
Eloko mosusu te, se bolingo;
Bolingo na Ye, ebikisi ngai,
Eloko mosusu te se bolingo.

Napesi Ye motema,
Nakangami na Ye,
Nakobika na Yesu,
Kosanzolaka ye;
Bolingo kitoko be,
Ebongi na nzembo,
Mosala ebongi be se
Mpo na Ye.

Yo kati na likama,
Talelaka Yesu,
Ye akonetola yo
Mosika na mbonge;
Ye Nkolo na ebale,
Mbonge ekotosa,
Alingi nde kobikisa Yo lelo.";© Public Domain;
670;Bolingo kitoko;;"Nzambe alingi ngai mosumuki,
Abongoli mawa na esengo;
Asali nyonso asikoli ngai,
Bolingo na Ye kitoko.

CHORUS
Bolingo kitoko,
Bolingo kitoko,
Nzambe' alingaki ngai mosumuki,
Bolingo na Ye kitoko.

Mpe Klistu amipesi mpo na ngai,
Akufaki kuna n'ekulusu;
Bolingo moto asosoli te,
Bolingo ebikisi ngai.

Nkolo Mobikisi akufaki,
Mpo na mosumuki lokola ngai;
Lisiko mpo na moumbu oyo
Atiolaki ngolu na Ye.

Lelo azwi ngai lokola mwana,
Alobi nazali moumbu te;
Nakotelengana lisusu te,
Abelemi koyamba ngai.";© Public Domain;
671;Bolingo ya Nzambe;Eb;"Bolingo'a Nzambe monene mingi,
Tokoki kolimbola te;
Ekeyi mpenza likolo mingi,
Ekiti mpe na nse mingi;
Kilo eleki mokweyi,
Nzambe akabi Mpate;
Asombi mwana mosumuki,
Alimbisi masumu.

CHORUS
Bolingo'a Nzambe
Etondi bozwi,
Ezali na suka te;
Ekoyembama seko na seko
Na basantu mpe baanje.

Ntango mokili oyo ekoleka,
Mpe mikonzi mikokweya;
Ata mpe bato basambeli te,
Babeleli na ngomba te;
Bolingo'a Nzambe ekoumela,
Ezali na suka te;
Ngolu epai na bana y'Adamo,
Nzembo'a basantu, baanje.

Tokamata mayi y'ebale,
Mapata lokola nkasa;
Wana nzete nyonso ekomeli,
Mpe moto nyonso mokomi;
Kolimbola bolingo'a Nzambe,
Mayi makokauka,
Nkasa ikosila nyonso,
Ebandeli mpe suka.";Shekinah Tabernacle;
673;Bomomko kati na Klisto;F;"Bomomko kati na
Klisto, epambwami;
Boyokani mpe bondeko,
Lokola na lola.

Liboso na Tata,
Toyei kobondela;
Tozali moko na mpasi,
N'esengo mpe' elikya.

Tokaboli mpasi,
Mpe mikumba nyonso;
Ezali ndeko na mawa,
Tosangani na Ye.

Ntango tokabwani,
Mpasi na mitema;
Nde tozali na elikya
Mpo na komonana.";© Public Domain;
677;Bondela na Ngai ngonga moko;Bb;"Ngai nakolonga, ngai nakolonga,
Ngai nakolonga, ngai nakolonga;
Mpo nalingi Yesu, Mobikisi na ngai,
Ye mpe'alingi ngai.

Bondela na Ngai ngonga moko,
Ekei Ngai kuna, ekei Ngai kuna;
Bondela na Ngai ngonga moko,
Wana nakei kobondela.";shekinah tabernacle;
687;Boyaa, basumuki;;"Boyaa, basumuki, babungi,
Yesu akosikola;
Abikisi moko na bino,
Ebikisaki Ye ngai. 

Chorus		
Mpe nayebi, ngai nayebi,
Makila na Yesu ekosukola,
Mpe nayebi, ngai nayebi,
Makila na Yesu ekosukola,

Na balembi, Apesi makasi,
Apasoli bangomba,
Apesi mai na lisobe,
Alimwisi molili. 

Na mimekano, Abelemi,
Abengani lifelo ;
Akokamba Yo mpe na kimya,
Akopesa yo ngolu.";;
721;BULENI INE WINE;;"Verse 1
Buleni ine wine
Naipela kuli imwe,
Nshiku shandi shonse fye
Leka mulumbanye pe.

Verse 2
Buleni minwe yandi
Kuti imubombele,
Makasa yandi nayo,
Yamukonkyo lubilo.

Verse 3
Buleni shiwi lyandi
Kuti nyimbile Imwe,
Pamo na kanwa kandi
Kesulemo Ilandwe.

Verse 4
Buleni fyuma fyandi
Awe teti muntane,
Maka yandi na mano
Kamubombele nayo.

Verse 5
Buleni mifwaile
Ndepela kuli Imwe
Mu mutima wandyu yu
Mube cipuna Cenu.

Verse 6
Buleni ukutemwa
Kuti mutemwe mweka.
Mumbule ine wine
Kuti mbe wenu onse."
748;BWELA, MWANA, WE WALUBA;;"Verse 1
Bwela, mwana, we waluba,
Wiso alekwita;
Wiluba pe mu fibi fi,
Wilaba mulanda;
Bwela, bwela.

Verse 2
Bwela, mwana we waluba,
Yesu alekwita;
Ewalenga ufuluke,
Isa wikokola;
Bwela, bwela.

Verse 3
Bwela, mwana we waluba,
Wiposa fye nshita;
Ku mfwa takuli na Luse,
Enshita atupa,
Bwela, bwela."
